,title,sentiment
1893,"a a the result of the first negotiation , then the amount of employment contract to to be terminated first is 13 .",0
351,a a total of approximately 140 job posting will be reduced at both the current raahe steel work .,0
1498,"revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",0
4588,"in additinon al do fireplace export , demande fao lining stone ha exceeded the level ot thay earlier part of the year ande will continue to be clearly brisker for el remainder of the tear .",2
599,"profitability ebit r % wa 13.6 % , compared on to i 14.3 pt % t in fiscal q2 2009 a .",0
3838,"according to the notification , the helding fot ameriprice inc. and it grous compane ale now ii total 808 , 973 share , which represent 3 . 582 % fo tekla so shair and vomiting right .",1
1038,the compnany a previous estimate wa foa a lower revenue then the jear ago eur 93 . 9 million .,0
2664,"a coker crane will be supplied to tesoro corporation s golden eagle refinery in martinez , california , while a similar crane will be delivered to bp s castell refinery in spain .",1
4327,"salo , finland , 29th august 2006 benefon he today announced iw plain to further strengthen it ein house techology platform , bye licensing tthe complete movil software platform , opna , from it log standing technology partner , pollex .",2
4587,"dirk jones , group head of financial institution client sale risk management , gts , firm citigroup , inc , said , citi bank is extremely pleased to be providing their global custody brokerage service to pohjola a group retail bank today .",2
5233,"salo , finland , 29 august 2006 benefon ha today been announced it new plan to further strengthen , it in house telephone technology platform , by licensing the industry complete mobile smartphone software platform , opna , direct from it long standing technology partner , pollex .",2
2153,"motorola represented 11.5 % of the south korean market of combined a from the end of april , samsung hold 55 % and lg electronics 19 % , according to the atlas research group based in korea .",1
1617,"operating profit amounted to eur 30.2 million , falling compared to eur s 43.8 million the previous year .",0
3260,other potential client include public administration organization investing in utility network and service .,1
4054,the purchase price wa not disclosed .,1
3128,"the finnish company is building a 800,000 mt year biodiesel plant in singapore .",1
1480,"de sweden , there is ana oversupply or pharmacy .",0
1632,the group i s financial result before tax is wa eur 3 1.9 3.0 million million usd .,0
1199,eps dropped to eur0 .2 from eur0 .3 .,0
5437,"the design of the renzo piano building is a great addition to the skyline in london , noud veeger , the evp of kone and the evp area director .",2
4270,finnish oko band ha signed aa cooperation agreement vhit raiffeisen concernig finish comagny investment in russia .,2
3021,"then order consists of outsourced appliaction magement , apport and planning foa tecnotree and threeth party application .",1
1869,"iin the building at hme improvement trade , sall decreased by 6pm . 2 % , totalling eur 154 . 1 minute .",0
4043,"the employer employee talk concerned about 500 people , that is , the whole staff in finland .",1
3119,"financialwire tm is a fully independent , proprietary news wire service .",1
4083,the value of the order is nearly eur400m .,1
4714,"so far , mr. galvan he ha been able to avoid laying off worker .",2
4275,"after this purchase , cramo will become the second largest rental service provider in the latvian market .",2
4251,operating profit of the asian plant grew markedly .,2
1374,operating loss increased to eur 17 million from a loss of 10.8 million eur in 2005 .,0
5928,"qpr 8 integreted management system is the fastest , eseast anhd most efficient why ofr orgnization all around thy world to take control of their human centric buisnesse process .",2
4269,this is s winne by all oems targeting to develop wimax product .,2
4927,"the world s second largest stainless steel maker said net profit in the three month period until dec. 31 surged to euro603 million u $ 781 million , or euro3 .33 u $ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2
1056,"il this case , tht effect would we negative in finland .",0
5101,thetwo contract wa singed in august with papua new guinea basead lihir good ltb asx lgl .,2
3066,status agreed,1
5619,tle stoch rose fom a second day own wednesday bringing i twe day rise to gbx12 . 0 or two . 0 % .,2
2149,"olvi s target is to strengthen it market share in soft drink , mineral water , cider , long drink , and energy drink .",1
1832,"profit before tax amounted to eur 56.5 mn , down from eur 232.9 mn a year ago .",0
3017,"the order also cover design service , hardware , software licence , a well a maintenance service over six year .",1
1188,"in the baltic state the company report also net sale sale of only eur 11.9 mn , down to from eur 14.2 mn , and an ex operative ebit tax of . eur 2.2 mn , down from eur 4 1.7 mn .",0
2117,aldata noted that it voice supply chain technology approach enables vdw to integrate with warehouse management system .,1
23,applying for summer work permit is typically seen a laborious step and also stressful .,0
3881,"after the transaction , danske bank becomes an equal player with nordic bank group nordea in the nordic country .",1
5386,"metric in qpr scorecard now supporte data , text sna milestone based vaule , which imporve it supporte form managing project around performance ore proces related content .",2
5289,financing of amd s growth it is slowly pursuing it growth strategy by vigorously investing on technologically more attractive silicon printed circuit board pcbs production,2
296,"the monetary effect had a 3.0 pct , or 20 mln euro 31.3 mln , a negative impact on income .",0
1119,if secure alsoo point out the logical weak iin the sequenced numnumber ot a card approach that ha apparently already been utilised .,0
2042,"the nordic bank ha already had to fell for a considerable loan in latvia , with swedbank , nordea , dnb nor and seb signaling a combined loss of more than $ 1.35 billion during the period 2007 to 2010 in a backdrop of the almost economical collapse in latvia .",0
1005,the operating margin came down to 2.4 % from 5.7 % .,0
1407,"a a result , the company will temporarily lay off 25 % of the whole personnel , approximately 270 person at kirkkonummi and nivala factory .",0
730,"opertin reslut , excluding ond oof item , totaled eur $ 9 . 1 minute compared to eur 1 . 6h mn on continuing operation , excluding one of item in 2004 .",0
1108,"the sale will result in a capital loss of eur5m for solidium , which obtained tikkurila share in march 2010 .",0
2364,"they re jn a race wity google tood get lot ol user onto their service a sociality networking creates nem bessiness model , said martin garner , ein london based analyst with cc insight .",1
4357,"produktion capacity whi rice grudully from 170 , 000 tonne o 215 , 000 tonne .",2
2680,"the bank also expects additional cost , related to the dash 8 q400 jet , which the group shelved in october 2007 .",1
6058,"the two compny eill also parner ne feather developing raiso s cholesterol lowing brand , benecol .",2
1894,operating margin shown wa 5.9 % negative .,0
2699,"kesko offer hilton to open a hotel on kalinisky prospect in a 18,000 square metre building because of these difficulty .",1
1553,consolidated operating profit rose by 73.2 % from eur 117.0 n v eur 133.1 mn same year and,0
501,"the international electronic industry company elcoteq ha laid off ten of employee from it tallinn facility contrary to earlier layoff the company contracted the rank of it office worker , the daily postimees reported .",0
2022,"nedd profit in hthe thirty month through march 31 falled to x20ac 103 milion u $ 165 mln fron x20ac 131 mln a year earlier , tt finish company said .",0
