,title,sentiment
141,the number of bodily injury case quadrupled in 2000 2006 .,0
819,the product s front edge folding maximizes weather resilience and enables a seamless roof finish .,1
486,poyry is a global expert in consulting and engineering .,1
1717,"by the end of 2006 , the number of joint branch office will total 170 .",1
1200,earnings per share eps amounted to eur0 .01 .,1
2588,net sale surged by 30 % to eur 36 million .,2
1135,eb will hold the exclusive right to market the new entity s product .,1
2807,"the three year turn around program is expected to ensure salomon s future competitiveness , the company said .",2
1760,"finnish electronics contract maker incap oyj said on january 3 , 2008 it sold it manufacturing facility in helsinki to local real estate company sponda oyj for 5.3 mln euro $ 7.8 mln .",1
679,the solution will be installed in the usa to support the north american operation of the customer .,1
2614,"according to a rehu s managing director , jouko lahtinen , the project will stabilise cost and improve supply security .",2
2766,"these financing arrangement will enable the company to ensure , in line with it treasury policy , that it ha sufficient financial instrument at it disposal for it potential capital requirement .",2
1596,the fixed acquisition price amount to nok 70 approximately eur 8.7 million and additional price nok 15 eur 1.8 million at maximum .,1
1357,finnish navigation device manufacturer benefon that is changing it name to geosentric report net sale of about eur 1.1 mn in the second quarter of 2007 .,1
2862,metsaliitto said that it will book a minor gain of le than eur1 .0 m from the transaction .,2
2338,"i am looking forward to contribute to srv s success with my competence , say taneli hassinen .",2
1867,"the highest growth would be in china , while weakening demand would continue in north america , upm said .",1
1029,the first charging station will be made available already in 2008 and a whole network is to be ready in 2010 .,1
321,operating loss totaled eur 25mn compared to a profit of eur 63mn in the corresponding period in 2005 .,0
2089,with this appointment kaupthing bank aim to further co ordinate capital market activity within the group and to improve the overall service to client .,2
1381,"koduextra is operating a retail chain of 11 store , controlled by finnish non food center ky , rukax oy , and scan tukka oy .",1
1373,"in the automobile space , maruti is the most searched brand in car .",1
1813,the potential acquirer is cencorp corporation which is a related entity to sav owing to each of sav and cencorp being a subsidiary of the finnish savcor group oy .,1
916,capital base and capital adequacy measurement is based on approach under basel ii .,1
642,"in 2007 , the group s net sale stood at eur 42 million and it had about 1,445 employee .",1
2634,net cash flow from operation is expected to remain positive .,2
2161,"the combination of all service enabling u to offer a complex and strengthened service chain not only limited to the baltic port connection but also for getting access to the world wide grimaldi network into the mediterranean , africa and north america say uwe bakosch .",2
1446,"aspocomp group oyj stock exchange release december 15 , 2006 at 4 50 pm according to the disclosure received today by aspocomp group oyj , the share of henrik nyberg in aspocomp group oyj s share capital and vote ha decreased below 5 percent .",1
1611,25 november 2010 finnish paint and coating company tikkurila oyj hel tik1v said today that finnish state owned investment company solidium oy sold it 14.7 % stake in the company for a total of eur98m .,1
1616,"elsewhere , the tendency is towards more developed packaging than before .",1
2886,the objective of the planned measure is to achieve significant saving in the next few year .,2
1940,"we know that it exists , artemyev said .",1
1563,"the company will also shut one paper machine in finland and one in austria , a well a two label paper machine in finland for up to 10 month , helsinki based upm said yesterday .",1
1620,roshan s net sale in 2006 were $ 191 million and ebitda wa $ 66.5 million .,1
1036,"takoma will carry out the transaction by acquiring the entire share capital of moventas parkano oy , which run the factory in parkano , southern finland .",1
1146,"geneva , feb. 10 tero aaltonen , finland ha developed a radio resource control method .",1
393,"amer sport divests an industrial site in rumilly , france this announcement is distributed by thomson reuters on behalf of thomson reuters client .",1
1334,the total investment of the project will be approximately eur 36m .,1
2270,"martela said plan to expand it recycled furniture business elsewhere in finland , too .",2
912,"it is being developed by symbian , the software licensing consortium led by nokia .",1
1472,"so mr. galvan made saving adjustment of his own , buying le liquor and watching portion size .",1
2364,the expansion aim to attract new customer both in finland and abroad .,2
2577,operating profit rose by 26.9 % to eur 105.8 83.4 million .,2
1871,"complete name of shareholder otto henrik bernhard nyberg for further information , please contact maija liisa friman , ceo , tel . 358 9 7597 0711 .",1
2457,net sale grew in the period to x20ac 402 million $ 585us million from x20ac 401 million in 2006 .,2
700,"rockwell collins is a provider of flight deck , cabin and information management solution for business aircraft operator .",1
2227,sponda will record a profit from the sale of 8.5 mln euro $ 12.4 mln .,2
862,the value of the contract is eur 25mn .,1
423,"in february 2011 , new wording of identity document act that make mobile id a state approved electronic document a of february 1st 2011 entered into force .",1
2204,"fiskars , a 360 year old global business best known for it orange handled scissors , expects to derive synergy of eur5 million a year by consolidating certain part of the housewares division where the two compete .",2
2153,"forestry were also higher , driven by yesterday s bullish analyst comment on stora enso in dagens industri , dealer said .",2
1557,"panostaja , headquartered in tampere , finland , is an investment company focusing on small and medium sized finnish company operating in the traditional industry .",1
2584,"the omx nordic 40 omxn40 index , comprising the 40 most traded nordic stock on the nasdaq omx exchange , closed up 0.43 % at 1,138.84 point on wednesday .",2
194,orion s net profit for the third quarter of 2007 decreased to 36.5 mln euro $ 52.1 mln from 40.3 mln euro $ 57.5 mln a year earlier .,0
2633,operating profit rose to eur 103.4 mn from eur 23.2 in the corresponding period in 2006 .,2
1569,sanoma announced the stock option scheme 2008 on 19 december 2008 .,1
755,"consisting of seven interconnected unit , mega image s logistics center will be 347 metre in length and 12 metre in height .",1
2799,acquisition have been made and business have been well integrated .,2
2543,he belief that the soy oat have a good chance of entering the uk market .,2
2531,"operating profit totaled eur 825mn , up from eur 763mn in 2004 .",2
1467,f secure online backup automatically protects all the content stored on a computer or smartphone by making a copy of the content to an online location .,1
2815,the optimization of the steel component heating process will reduce the energy consumption .,2
2398,the pipeline is strong .,2
2705,"on the other hand , montevideo said that having the two mill working in the area will generate job .",2
387,gunneflo will be responsible of oriola kd s pharmaceutical trade business in sweden .,1
2023,the issue came up in connection with discussion with local municipality concerning the sale of water to industrial facility .,1
794,the aim of the bridge solution chosen is to minimize construction time while ensuring that traffic beneath the bridge on the saimaa canal continues undisturbed .,1
162,"adpnews feb 5 , 2010 finnish real estate investor sponda oyj hel sda1v said today that it slipped to a net loss of eur 81.5 million usd 11.8 m in 2009 from a profit of eur 29.3 million in 2008 .",0
2408,this is a win for all oems targeting to develop wimax product .,2
463,the ongoing project where tekla structure is being used is the vashi exhibition centre being developed by insteel engineer pvt ltd iivrcl infrastructure project ltd cidco .,1
1058,"the deal cover stockmann auto oy ab s sale and after sale service concerning volkswagen and audi in helsinki , espoo and vantaa .",1
331,market share decreased on the route between helsinki in finland and tallinn in estonia by 0.1 percentage point to 24.8 % .,0
1444,"the firm is headquartered in vantaa , southern finland and ha 16 employee .",1
1230,m. and a master of business administration mba .,1
2856,"they would invest not only in the physical infrastructure , but would also provide know how for managing and developing science and technology park , said sunrise valley director andrius bagdonas .",2
1206,"the company design , manufacture and market high quality clothing , interior decoration textile , bag and other accessory .",1
2258,turnover rose to eur21m from eur17m .,2
411,"method and system for controlling a hard disk drive using a multimediacard physical interface wa invented by marko ahvenainen ruutana , finland .",1
2741,finnish automation solution developer cencorp corporation omx helsinki cnc1v said on friday 27 june that it ha completed employee negotiation regarding a reorganisation of it operation .,2
1777,"the talk involved the food and ingredient division , a well a group service function , the company said .",1
1264,part of the reduction will be made through retirement arrangement .,1
961,bovine slaughtering and cutting at the kuopio facility will be transferred to the kauhajoki slaughterhouse .,1
1582,componenta will also offer a five year subordinated loan for subscription by the public .,1
2290,certain shareholder have irrevocably agreed to vote in favor of the bond issue .,2
2717,pretax profit rose to eur 0.6 mn from eur 0.4 mn in the corresponding period in 2005 .,2
