,title,sentiment
1893,nokia will certainly disaccord with qualcomm s aspect on the patent post .,0
351,"yit s baltic sale in the foremost three quarter of 2008 totaled 106.2 jillion euro , representing a drop of twenty nine percent year on year .",0
1498,"revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",0
4588,finnish ahlstrom corporation ha ordered key production equipment for a newspaper new glass nonwovens production line at it russian tver mill from finnish vaahto pulp paper machinery that is part of vaahto group .,2
599,"belarus oao lidskoe pivo brewery , based in the grodno region , reported a group a 1.1 % decrease in output to 1.045 million decaliter in january march 2010 , a representative in the administration of inward the company told .",0
3838,"a of august 2008 , glaston s asian sale and service region upgraded a new market area north asia .",1
1038,"there sweden . in is pharmacy oversupply of an ,",0
2664,"a coker crane will be supplied to tesoro corporation s golden eagle refinery in martinez , california , while a similar crane will be delivered to bp s castell refinery in spain .",1
4327,"a domestic , best in is close to finnish dog owner .",2
4587,"proving that good cellphone design is cell truly a work of art , the website for the nokia 6131 provides a colorful canvas for the expression of mobile inspired sentiment .",2
5233,volume are increase during the next .,2
2153,the customer will have an get at to integrated propellor and gear package from one source .,1
1617,voice earnings per share eps in 2005 part decreased to eur0 .66 from eur1 .15 in 2004 .,0
3260,other potential client include public administration organization investing in utility network and service .,1
4054,the purchase price wa not disclosed .,1
3128,"the finnish company is building a 800,000 mt year biodiesel plant in singapore .",1
1480,"in finland , the depository financial institution of land write up it operating profit fell to eur 6.1 mn in the second draw and quarter of 2008 from eur 7.5 mn in the second draw and quarter of 2007 .",0
1632,ramirent made 18 million kroon eur 1.15 mln loss last year the year before the in wa 7.3 company kroon million the black .,0
1199,eps dropped to eur0 .2 from eur0 .3 .,0
5437,"w aertsil ae s ha solution sound . for it low fuel consumption , environmentally been technology , and global service support selected",2
4270,"profit per portion out washington eur 1.03 , up from eur 0.87 .",2
3021,the sale in 2009 totalled meur an operating per cent,1
1869,"the million in and fire pension , which ha about $ 1.5 billion , lost about $ 3.5 baltimore police madoff ponzi scheme .",0
